model,clean,AutoAttack8,Square8,CW_l2,DeepFool_l2,label
resnet18,0.8285256410256411,0.0,0.005802707930367505,0.07328881323337555,0.10271675884723663,ResNet-18
resnet34,0.8477564102564102,0.0,0.0,0.056488484144210815,0.07918660342693329,ResNet-34
resnet50,0.8461538461538461,0.0,0.0,0.02603844925761223,0.03323862701654434,ResNet-50
resnet101,0.8413461538461539,0.0,0.16380952380952382,0.05944756418466568,0.022239599376916885,ResNet-101
resnet152,0.8253205128205128,0.0,0.019417475728155338,0.05694783478975296,0.06652829051017761,ResNet-152
deit_small,0.8605769230769231,0.0,0.07076350093109869,0.6538792252540588,1.4574335813522339,DeiT-S
convnext_tiny,0.905448717948718,0.0,0.17345132743362832,0.2906274199485779,0.5703724026679993,ConvNeXt-T
