dataset,dataset_label,model,model_label,seed,attack,epsilon_255,conditional_robust_accuracy,source_count,sources
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,0.25,0.0019880715705765406,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,2.0,0.6918489065606361,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,4.0,0.7713717693836978,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,8.0,0.7713717693836978,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,16.0,0.7713717693836978,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,0.1,0.7225548902195609,2,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,0.15,0.6726546906187625,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,0.2,0.6187624750499002,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,0.25,0.5968063872255489,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,0.5,0.562874251497006,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,1.0,0.5728542914171657,2,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,0.1,0.4231536926147705,2,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,0.15,0.11976047904191617,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,0.2,0.027944111776447105,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,0.25,0.003992015968063872,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,2.0,0.654690618762475,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,4.0,0.7604790419161677,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,8.0,0.7784431137724551,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,FGSM,16.0,0.7784431137724551,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
