dataset,dataset_label,model,model_label,seed,params_m,clean_accuracy,normalized_log_epsilon_auc,critical_epsilon_255,critical_epsilon_censored_above_16,robust_accuracy_0.1_255,robust_accuracy_8_255,relative_accuracy_drop_8_255,max_pgd_rebound,n_monotonic_adjustments
oct2017,OCT,resnet101,ResNet-101,seed44,44.5,0.996900826446281,0.01845005902463937,0.1,False,0.16683937823834197,0.0,1.0,0.0,0
oct2017,OCT,resnet152,ResNet-152,seed42,60.2,0.9979338842975206,0.07155695727878704,0.15,False,0.6004140786749482,0.0,1.0,0.0,0
oct2017,OCT,resnet152,ResNet-152,seed43,60.2,0.996900826446281,0.05345372601145446,0.15,False,0.5523316062176166,0.0,1.0,0.0,0
oct2017,OCT,resnet152,ResNet-152,seed44,60.2,0.996900826446281,0.0784108084279485,0.15,False,0.6746113989637306,0.0,1.0,0.0,0
oct2017,OCT,resnet18,ResNet-18,seed42,11.7,0.993801652892562,0.05840622566929286,0.15,False,0.5634095634095634,0.0,1.0,0.0,0
oct2017,OCT,resnet18,ResNet-18,seed43,11.7,0.9958677685950413,0.025669922538833344,0.1,False,0.38381742738589214,0.0,1.0,0.0,0
oct2017,OCT,resnet18,ResNet-18,seed44,11.7,0.996900826446281,0.03406227247712156,0.1,False,0.47461139896373056,0.0,1.0,0.0,0
oct2017,OCT,resnet34,ResNet-34,seed42,21.8,0.996900826446281,0.04666101544911436,0.1,False,0.46113989637305697,0.0,1.0,0.0,0
oct2017,OCT,resnet34,ResNet-34,seed43,21.8,0.996900826446281,0.030836432205932313,0.1,False,0.37305699481865284,0.0,1.0,0.0,0
oct2017,OCT,resnet34,ResNet-34,seed44,21.8,0.9948347107438017,0.029936961080253715,0.1,False,0.3333333333333333,0.0,1.0,0.0,0
oct2017,OCT,resnet50,ResNet-50,seed42,25.6,0.9989669421487604,0.031068265352573145,0.1,False,0.32574974146845914,0.0,1.0,0.0,0
oct2017,OCT,resnet50,ResNet-50,seed43,25.6,0.9927685950413223,0.009384479417383438,0.1,False,0.1331945889698231,0.0,1.0,0.0,0
oct2017,OCT,resnet50,ResNet-50,seed44,25.6,0.996900826446281,0.008693230349150656,0.1,False,0.10984455958549223,0.0,1.0,0.0,0
