dataset,dataset_label,model,model_label,seed,params_m,accuracy,balanced_accuracy,macro_f1,auroc,ece,num_samples,source
malaria,Malaria,resnet34,ResNet-34,seed44,21.8,0.9839626471782379,0.9836982857127601,0.9837639069792203,0.996979106039652,0.005817163343890324,4926,results/malaria/resnet34/clean/seed44/clean_results.json
malaria,Malaria,resnet50,ResNet-50,seed42,25.6,0.9699042407660738,0.9697451989645416,0.9697451989645416,0.9945653175483666,0.011556601160924319,5117,results/malaria/resnet50/clean/seed42/clean_results.json
malaria,Malaria,resnet50,ResNet-50,seed43,25.6,0.9624478442280946,0.9638614759280864,0.9616731396920417,0.9915425705696577,0.021460820756837695,6471,results/malaria/resnet50/clean/seed43/clean_results.json
malaria,Malaria,resnet50,ResNet-50,seed44,25.6,0.9792935444579781,0.9796728744279926,0.9790656165004532,0.9965097194559989,0.007437029336943985,4926,results/malaria/resnet50/clean/seed44/clean_results.json
malaria,Malaria,resnet101,ResNet-101,seed42,44.5,0.9702950947820989,0.969568358316778,0.9701022127124102,0.9950689640132738,0.015081046066504135,5117,results/malaria/resnet101/clean/seed42/clean_results.json
malaria,Malaria,resnet101,ResNet-101,seed43,44.5,0.9621387729871735,0.9632463981641586,0.9613367489312397,0.9892699020576435,0.026931501986014707,6471,results/malaria/resnet101/clean/seed43/clean_results.json
malaria,Malaria,resnet101,ResNet-101,seed44,44.5,0.9813235891189607,0.9809590570752726,0.9810895577966225,0.9975746413105581,0.006196702695502681,4926,results/malaria/resnet101/clean/seed44/clean_results.json
malaria,Malaria,resnet152,ResNet-152,seed42,60.2,0.9722493648622239,0.9719032998787378,0.9720913750567304,0.9949176166764341,0.01992210504108047,5117,results/malaria/resnet152/clean/seed42/clean_results.json
malaria,Malaria,resnet152,ResNet-152,seed43,60.2,0.9644568072940812,0.9654986473283854,0.9636956130607492,0.9917583203211,0.02475304553652817,6471,results/malaria/resnet152/clean/seed43/clean_results.json
malaria,Malaria,resnet152,ResNet-152,seed44,60.2,0.9801055623223711,0.9798165437662525,0.9798599389057947,0.9965502672483301,0.006097000278305665,4926,results/malaria/resnet152/clean/seed44/clean_results.json
oct2017,OCT,resnet18,ResNet-18,seed42,11.7,0.993801652892562,0.993801652892562,0.9938015738390704,0.999947351046149,0.02031973158278741,968,results/oct2017/resnet18/clean/seed42/clean_results.json
oct2017,OCT,resnet18,ResNet-18,seed43,11.7,0.9958677685950413,0.9958677685950413,0.9958676713544984,0.9999772328848212,0.017715763516169936,968,results/oct2017/resnet18/clean/seed43/clean_results.json
oct2017,OCT,resnet18,ResNet-18,seed44,11.7,0.996900826446281,0.996900826446281,0.9969029520524977,0.9999857705530133,0.017616899237652455,968,results/oct2017/resnet18/clean/seed44/clean_results.json
oct2017,OCT,resnet34,ResNet-34,seed42,21.8,0.996900826446281,0.996900826446281,0.9969007073729866,0.9999928852765065,0.015065792486194737,968,results/oct2017/resnet34/clean/seed42/clean_results.json
oct2017,OCT,resnet34,ResNet-34,seed43,21.8,0.996900826446281,0.996900826446281,0.9969007073729866,0.9999857705530133,0.010715385914341477,968,results/oct2017/resnet34/clean/seed43/clean_results.json
oct2017,OCT,resnet34,ResNet-34,seed44,21.8,0.9948347107438017,0.9948347107438017,0.9948409554765725,0.999991462331808,0.013159278811009463,968,results/oct2017/resnet34/clean/seed44/clean_results.json
oct2017,OCT,resnet50,ResNet-50,seed42,25.6,0.9989669421487604,0.9989669421487604,0.9989669377387889,0.9999985770553014,0.011405607700840502,968,results/oct2017/resnet50/clean/seed42/clean_results.json
oct2017,OCT,resnet50,ResNet-50,seed43,25.6,0.9927685950413223,0.9927685950413223,0.9927851395292713,0.9998890103135032,0.010452919200924756,968,results/oct2017/resnet50/clean/seed43/clean_results.json
oct2017,OCT,resnet50,ResNet-50,seed44,25.6,0.996900826446281,0.9969008264462811,0.9969007999315567,0.9999729640507251,0.011767522239488017,968,results/oct2017/resnet50/clean/seed44/clean_results.json
oct2017,OCT,resnet101,ResNet-101,seed42,44.5,0.9948347107438017,0.9948347107438017,0.9948303976819768,0.9999800787742186,0.01379264854202586,968,results/oct2017/resnet101/clean/seed42/clean_results.json
oct2017,OCT,resnet101,ResNet-101,seed43,44.5,0.9979338842975206,0.9979338842975207,0.9979338490172976,0.9999971541106026,0.011709398105124797,968,results/oct2017/resnet101/clean/seed43/clean_results.json
oct2017,OCT,resnet101,ResNet-101,seed44,44.5,0.996900826446281,0.996900826446281,0.9969007073729866,0.9999701181613277,0.012188943949612705,968,results/oct2017/resnet101/clean/seed44/clean_results.json
oct2017,OCT,resnet152,ResNet-152,seed42,60.2,0.9979338842975206,0.9979338842975207,0.9979338490172976,1.0,0.005736669848773105,968,results/oct2017/resnet152/clean/seed42/clean_results.json
oct2017,OCT,resnet152,ResNet-152,seed43,60.2,0.996900826446281,0.9969008264462811,0.9969050161902127,0.9999985770553014,0.006538630147610814,968,results/oct2017/resnet152/clean/seed43/clean_results.json
oct2017,OCT,resnet152,ResNet-152,seed44,60.2,0.996900826446281,0.996900826446281,0.9969007073729866,0.9999900393871093,0.0042348042253620025,968,results/oct2017/resnet152/clean/seed44/clean_results.json
