dataset,dataset_label,model,model_label,seed,epsilon_255,fgsm,pgd,attack_set_min,audited_envelope,adjusted_for_nonmonotonicity,max_pgd_rebound
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.1,0.7175141242937854,0.3220338983050847,0.3220338983050847,0.3220338983050847,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.15,0.704331450094162,0.16760828625235405,0.16760828625235405,0.16760828625235405,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.2,0.6949152542372882,0.08097928436911488,0.08097928436911488,0.08097928436911488,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.25,0.6836158192090396,0.04519774011299435,0.04519774011299435,0.04519774011299435,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.5,0.6685499058380414,0.005649717514124294,0.005649717514124294,0.005649717514124294,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,1.0,0.6610169491525424,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,2.0,0.6817325800376648,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,4.0,0.711864406779661,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,8.0,0.736346516007533,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,16.0,0.7269303201506592,0.0018832391713747645,0.0018832391713747645,0.0,True,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.1,0.7652671755725191,0.4961832061068702,0.4961832061068702,0.4961832061068702,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.15,0.7347328244274809,0.3950381679389313,0.3950381679389313,0.3950381679389313,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.2,0.7194656488549618,0.3053435114503817,0.3053435114503817,0.3053435114503817,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.25,0.7099236641221374,0.22137404580152673,0.22137404580152673,0.22137404580152673,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.5,0.7022900763358778,0.07633587786259542,0.07633587786259542,0.07633587786259542,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,1.0,0.6965648854961832,0.011450381679389313,0.011450381679389313,0.011450381679389313,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,2.0,0.6927480916030534,0.0,0.0,0.0,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,4.0,0.7175572519083969,0.0,0.0,0.0,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,8.0,0.7423664122137404,0.0,0.0,0.0,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,16.0,0.7423664122137404,0.07061068702290077,0.07061068702290077,0.0,True,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,0.1,0.6963249516441006,0.3617021276595745,0.3617021276595745,0.3617021276595745,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,0.15,0.632495164410058,0.09864603481624758,0.09864603481624758,0.09864603481624758,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,0.2,0.6054158607350096,0.02127659574468085,0.02127659574468085,0.02127659574468085,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,0.25,0.586073500967118,0.005802707930367505,0.005802707930367505,0.005802707930367505,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,0.5,0.5435203094777563,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,1.0,0.574468085106383,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,2.0,0.6460348162475822,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,4.0,0.7504835589941973,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,8.0,0.7524177949709865,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,16.0,0.7524177949709865,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,0.1,0.68389662027833,0.3101391650099404,0.3101391650099404,0.3101391650099404,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,0.15,0.6361829025844931,0.08548707753479125,0.08548707753479125,0.08548707753479125,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,0.2,0.610337972166998,0.02385685884691849,0.02385685884691849,0.02385685884691849,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,0.25,0.5785288270377733,0.0019880715705765406,0.0019880715705765406,0.0019880715705765406,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,0.5,0.5387673956262425,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,1.0,0.5526838966202783,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,2.0,0.6918489065606361,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,4.0,0.7713717693836978,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,8.0,0.7713717693836978,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,16.0,0.7713717693836978,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,0.1,0.7225548902195609,0.4231536926147705,0.4231536926147705,0.4231536926147705,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,0.15,0.6726546906187625,0.11976047904191617,0.11976047904191617,0.11976047904191617,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,0.2,0.6187624750499002,0.027944111776447105,0.027944111776447105,0.027944111776447105,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,0.25,0.5968063872255489,0.003992015968063872,0.003992015968063872,0.003992015968063872,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,0.5,0.562874251497006,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,1.0,0.5728542914171657,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,2.0,0.654690618762475,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,4.0,0.7604790419161677,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,8.0,0.7784431137724551,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,16.0,0.7784431137724551,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,0.1,0.6843100189035917,0.23062381852551986,0.23062381852551986,0.23062381852551986,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,0.15,0.6275992438563327,0.054820415879017016,0.054820415879017016,0.054820415879017016,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,0.2,0.6068052930056711,0.00945179584120983,0.00945179584120983,0.00945179584120983,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,0.25,0.6011342155009451,0.003780718336483932,0.003780718336483932,0.003780718336483932,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,0.5,0.5879017013232514,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,1.0,0.5765595463137996,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,2.0,0.6200378071833649,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,4.0,0.6540642722117203,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,8.0,0.5368620037807184,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,16.0,0.2665406427221172,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,0.1,0.7897838899803536,0.5402750491159135,0.5402750491159135,0.5402750491159135,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,0.15,0.7524557956777996,0.2829076620825147,0.2829076620825147,0.2829076620825147,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,0.2,0.7347740667976425,0.1100196463654224,0.1100196463654224,0.1100196463654224,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,0.25,0.7210216110019646,0.03339882121807466,0.03339882121807466,0.03339882121807466,False,0.0
