model,clean_mean,clean_sd,auc_mean,auc_sd,rob8_mean,rob8_sd,n
resnet18,0.8125,0.013970829947245762,0.02307808006325902,0.0036299881907332385,0.0,0.0,3
resnet34,0.8333333333333334,0.016264249303032406,0.030944521895221972,0.017877416929271153,0.0,0.0,3
resnet50,0.8685897435897436,0.02623510503805274,0.0013303922973864747,0.0013661054156287307,0.0,0.0,3
resnet101,0.826923076923077,0.012719958226272088,0.005485295612693915,0.003986329317283715,0.0,0.0,3
resnet152,0.8392094017094017,0.012028130608117216,0.050266851643180434,0.03830788848299121,0.0,0.0,3
deit_small,0.8707264957264957,0.021875635928892405,0.36310070844520737,0.02266199634798521,0.0,0.0,3
convnext_tiny,0.8856837606837606,0.018574079755036006,0.2456901283777341,0.041890463996524976,0.0,0.0,3
